year,net_worth,home_value,mortgage,home_equity,total_net_worth,person1_income,person2_income,taxable_income,taxable_wage_income,non_ss_taxable_income,withdrawal_taxable_income,taxable_withdrawal_basis_portion,taxable_withdrawal_gain_portion,roth_withdrawal_basis_portion,roth_withdrawal_earnings_portion,other_taxable_income,taxable_social_security_income,social_security_taxable_fraction,social_security_provisional_income,tax_phase,tax_mode,tax_filing_status,annual_taxes,annual_federal_taxes,annual_state_taxes,federal_standard_deduction,federal_taxable_after_deduction,federal_effective_rate,state_tax_enabled,state_tax_name,state_tax_filing_status,state_standard_deduction,state_taxable_before_deduction,state_taxable_income,state_effective_rate,state_social_security_taxed,annual_spend,freed_payments,net_flow,required_outflows,event_outflow_total,funding_shortfall,spending_funded_ratio,rmd_required,rmd_withdrawn,rmd_shortfall,withdrawal_cash,withdrawal_taxable,withdrawal_trad_ira,withdrawal_roth,withdrawal_trad_ira_person1,withdrawal_trad_ira_person2,withdrawal_roth_person1,withdrawal_roth_person2,contribution_trad_ira,contribution_roth,contribution_trad_ira_person1,contribution_trad_ira_person2,contribution_roth_person1,contribution_roth_person2,contribution_employee_trad_ira_person1,contribution_employee_roth_person1,contribution_employee_trad_ira_person2,contribution_employee_roth_person2,contribution_employee_trad_ira,contribution_employee_roth,contribution_total,surplus_to_taxable,surplus_to_trad_ira,surplus_to_roth,employer_match_total,employer_match_person1,employer_match_person2,person1_401k_over_irs_cap,person2_401k_over_irs_cap,person1_over_total_limit,person2_over_total_limit,survivor,events_active,taxable,taxable_cost_basis,taxable_unrealized_gain,trad_ira,trad_ira_person1,trad_ira_person2,roth,roth_contribution_basis,roth_earnings,roth_person1,roth_person2,cash,liability_sample_mortgage_balance
2036,1217930.8750968208,564904.3829176303,15515.600780812481,549388.7821368178,1767319.6572336387,0.0,57440.35052138263,28563.176061287326,0.0,16370.066127727949,12193.109933559379,5153.209564679717,12193.109933559379,0.0,0.0,28563.176061287326,0.0,0.0,28563.176061287326,pre_retirement,brackets,married_joint,2291.922371679567,624.0358614385578,1667.886510241009,22322.817446901747,6240.358614385578,0.0218474857775842,1.0,oregon,married_joint,4219.01249746443,28563.176061287326,24344.163563822898,0.058389384620852386,0.0,57440.35052138263,0.0,-32055.678967548563,105866.09561665915,46133.822723596946,0.0,1.0,0.0,0.0,0.0,14298.393185279874,17757.285230151592,0.0,0.0,0.0,0.0,0.0,0.0,5821.108799788124,17463.326399364374,0.0,5821.108799788124,0.0,17463.326399364374,0.0,0.0,4694.442580474293,14083.32774142288,4694.442580474293,14083.32774142288,23284.435199152496,0.0,0.0,0.0,4506.664877255322,0.0,4506.664877255322,0.0,0.0,0.0,0.0,0.0,"🏖️ Home renovation, 💰 Part-time consulting",71189.04484961172,23139.598428921276,47471.35567957422,593296.4427267896,310265.60492649506,286588.2137046451,562309.394641988,380839.7043069064,182039.87145361153,381598.3353769828,172264.3656592886,0.0,15515.600780812481
2037,1313628.5886057569,567646.6372036381,0.0,567646.6372036381,1881275.2258093948,0.0,58014.754026596434,15893.268085172764,0.0,15893.268085172764,0.0,0.0,0.0,0.0,0.0,15893.268085172764,0.0,0.0,15893.268085172764,pre_retirement,brackets,married_joint,670.4069446836511,0.0,670.4069446836511,21672.638297962858,0.0,0.0,1.0,oregon,married_joint,4096.128638314981,15893.268085172764,11797.139446857784,0.04218181818181818,0.0,58014.754026596434,14303.941276655487,15078.37688516936,73133.58650325533,14448.42553197524,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5905.88222891125,17717.64668673375,0.0,5905.88222891125,0.0,17717.64668673375,0.0,0.0,4762.808249121977,14288.424747365927,4762.808249121977,14288.424747365927,23623.528915645,0.0,0.0,0.0,4572.295919157097,0.0,4572.295919157097,0.0,0.0,0.0,0.0,0.0,"🏠 Sample Mortgage paid off, 💰 Part-time consulting",71370.37975315344,22465.62954264201,50209.05380564972,625846.342603307,321800.7458066634,300983.2639144083,597374.259268119,387464.9324215943,209909.3268465247,397632.84270833374,195901.24257220933,15078.37688516936,0.0
2038,1181578.4786345118,570402.2034036558,0.0,570402.2034036558,1751980.6820381675,0.0,0.0,54051.78987332218,0.0,0.0,54051.78987332218,16558.798911822323,54051.78987332218,17772.17471276422,2545.3218588952013,54051.78987332218,0.0,0.0,54051.78987332218,retirement,brackets,married_joint,7574.0549789779625,3626.689013251911,3947.365965726051,21041.396405789186,33010.393467532995,0.06709619727544458,1.0,oregon,married_joint,3976.8239206941557,54051.78987332218,50074.96595262802,0.07302921701273743,0.0,96000.0,0.0,-117601.65258283741,117601.65258283741,14027.597603859456,0.0,1.0,0.0,0.0,0.0,14027.597603859456,75677.96288668425,0.0,27929.658544002094,0.0,0.0,18558.45747599026,9226.055802661416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,🎉 Retirement (S),0.0,0.0,0.0,622920.8417388306,320810.3523712606,302298.01999213535,559239.9067928328,358407.3713276186,207886.2408803495,380523.67971436627,185690.93801267497,1050.779281309904,0.0
2039,1207826.7181592695,573171.1461386249,0.0,573171.1461386249,1780997.8642978943,25494.818169344566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44786.70912339486,20615.722154901494,0.0,0.0,0.0,12747.409084672283,retirement,brackets,married_joint,0.0,0.0,0.0,20428.540199795323,0.0,0.0,1.0,oregon,married_joint,3860.9940977613164,0.0,0.0,0.0,0.0,96000.0,0.0,-84124.20863051899,109619.02679986355,13619.02679986355,0.0,1.0,0.0,0.0,0.0,1050.779281309904,0.0,0.0,83073.42934920908,0.0,0.0,52525.74552981412,27354.296488499436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,🏛️ SS Begins (A),0.0,0.0,0.0,673423.6572993593,345906.2860128011,327693.7767289876,538282.4712205944,298503.89725292905,225791.41991885137,354029.8390633912,172652.23819316673,0.0,0.0
2040,1121084.5086914692,575953.5303431812,0.0,575953.5303431812,1697038.0390346502,24752.25064984909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44404.70890307575,32947.5691131159,0.0,0.0,0.0,12376.125324924546,retirement,brackets,married_joint,0.0,0.0,0.0,19833.53417455857,0.0,0.0,1.0,oregon,married_joint,3748.537958991569,0.0,0.0,0.0,0.0,96000.0,0.0,-84470.1054665233,109222.35611637238,13222.356116372377,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,84470.1054665233,0.0,0.0,55316.42253038891,27770.28175294741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,682207.1333122996,349406.1603516106,330278.7926467634,450589.7934585387,245577.86424228444,206152.50506413012,299609.07207270944,149647.9539282765,0.0,0.0
2041,1085350.9740286134,578749.4212671772,0.0,578749.4212671772,1664100.3952957906,24031.3113105331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46746.37101940974,46305.999910598446,0.0,0.0,0.0,12015.65565526655,retirement,brackets,married_joint,0.0,0.0,0.0,19255.85842190152,0.0,0.0,1.0,oregon,married_joint,3639.357241739388,0.0,0.0,0.0,0.0,96000.0,0.0,-97643.1665853356,121674.4778958687,25674.4778958687,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,97643.1665853356,0.0,0.0,64895.686883755705,31624.768228465942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,💸 Roof replacement,0.0,0.0,0.0,710748.1612884004,366332.77310538385,342729.672425427,370795.914017133,187790.61744624336,184458.50784999089,250361.69594419518,121539.38777238656,0.0,0.0
2042,1021181.4801962116,581558.884477212,0.0,581558.884477212,1602740.3646734236,23331.370204401064,0.0,27215.990827195325,0.0,0.0,15550.305724994792,0.0,0.0,26076.343067058537,30479.339024361318,15550.305724994792,11665.685102200532,0.5,27215.990827195325,retirement,brackets,married_joint,1554.095822090649,852.0982650591907,701.9975570314583,18695.008176603416,8520.982650591908,0.03130853708176427,1.0,oregon,married_joint,3533.3565453780457,15550.305724994792,12016.949179616746,0.04514363233527452,0.0,96000.0,0.0,-86686.06440209187,110017.43460649293,12463.338784402278,0.0,1.0,13019.750160989197,13019.750160989197,0.0,12463.338784402278,0.0,15550.305724994792,58790.68068198839,7950.089752446569,7533.932779394212,39987.13707635802,18568.248485638276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,709215.4998864747,365370.0831821378,345121.7689133454,316626.86749086063,152526.81253003448,160627.22611171086,206764.01004397176,105522.5880939756,556.4113765869192,0.0
2043,1006506.3338069099,584381.9858581693,0.0,584381.9858581693,1590888.3196650792,22651.81573242822,0.0,39169.12393283745,0.0,0.0,19915.080560273465,0.0,0.0,25223.12836604308,36464.29547667764,19915.080560273465,19254.043372563985,0.85,31240.988426487573,retirement,brackets,married_joint,3301.4968491473837,2233.6428222313634,1067.8540269160203,18150.49337534312,21018.630557494325,0.05702559925130338,1.0,oregon,married_joint,3430.44324793985,19915.080560273465,16484.637312333616,0.0536203768044538,0.0,96000.0,0.0,-111740.63497571586,134392.45070814408,35090.953858996705,0.0,1.0,13501.1517206639,13501.1517206639,0.0,14665.585078749435,0.0,19915.080560273465,66499.91904205762,10461.127061348941,9684.649678632191,44991.23484334218,19979.239251818588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,💸 Vehicle replacement,0.0,0.0,0.0,761136.6742551466,391389.3301763595,364556.646224377,249590.19512884784,108941.63877303622,140147.1130035092,169987.4718432452,79099.50209289751,0.0,0.0
2044,957719.7387124528,587218.7916147622,0.0,587218.7916147622,1544938.5303272149,21992.054109153607,14167.957935704728,54017.377288708376,0.0,0.0,23281.367050578792,0.0,0.0,11789.038067689664,25878.77736306833,23281.367050578792,30736.010238129587,0.85,41361.373073007955,retirement,brackets,married_joint,5468.2421818993025,4087.2774593934223,1380.9647225058795,17621.83822848847,36395.539060219904,0.07566596931851496,1.0,oregon,married_joint,3330.5274251843202,23281.367050578792,19950.839625394474,0.059316340215000804,0.0,95999.99999999999,0.0,-80228.05317049453,116388.06521535286,14919.82303345357,0.0,1.0,15019.66757942905,15019.66757942905,0.0,14872.985175195736,0.0,23281.367050578792,40773.86101396702,11968.62190070292,11214.30130720498,28635.926644919324,12269.899823103617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"💸 Property tax + insurance (post-payoff), 🏛️ SS Begins (S)",0.0,0.0,0.0,753602.599746665,387736.8138847905,368871.36077005893,203890.29039306843,87133.03787274045,121269.44180985223,133966.91684961494,66426.09877480532,99.84454597548101,0.0
2045,901863.2850474403,590069.3682730863,0.0,590069.3682730863,1491932.6533205267,21351.508843838456,13755.29896670362,53700.946444651556,0.0,0.0,23860.159805690797,0.0,0.0,8652.770199743965,24568.267545150782,23860.159805690797,29840.786638960763,0.85,41413.56371096183,retirement,brackets,married_joint,5569.579951242102,4119.057442045971,1450.5225091961302,17108.580804357734,36592.36564029382,0.07670346040627193,1.0,oregon,married_joint,3233.521772023612,23860.159805690797,20626.638033667183,0.06075961198809288,0.0,95999.99999999999,0.0,-80948.0372217229,116054.84503226497,14485.265081022882,0.0,1.0,15435.717499214801,15435.717499214801,0.0,14485.265081022882,0.0,23860.159805690797,39129.68417911847,12366.13803010392,11522.621027296635,26782.993872048144,11489.687586845777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,711061.6679236747,369959.4909921582,342365.6941641162,156011.01221894758,62160.615236456186,87248.53012492435,105165.33389623277,52371.44943979119,1809.300855246041,0.0
2046,853545.2646278889,592933.7826821788,0.0,592933.7826821788,1446479.0473100678,20729.620236736366,13354.65919097439,54641.22113033889,0.0,0.0,25669.583616784745,0.0,0.0,3877.6390873594523,11177.29383641815,25669.583616784745,28971.637513554142,0.85,42711.72333064012,retirement,brackets,married_joint,5928.524554639176,4299.61048582298,1628.914068816196,16610.272625590034,38030.948504748856,0.0786877944322592,1.0,oregon,married_joint,3139.3415262365165,25669.583616784745,22530.24209054823,0.06345621538304881,0.0,96000.0,0.0,-81907.60928326132,115991.88871097207,14063.364156332897,0.0,1.0,15073.168862586908,15073.168862586908,0.0,14063.364156332897,0.0,25669.583616784745,22395.23059910183,13080.70335520781,12449.879406389067,15557.43594962827,6837.794649473561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,745680.4670976563,381883.4129690047,363709.38667355786,110649.5996445138,42216.95545106766,68138.28116446635,74775.9776832384,37616.76631429905,3040.715047602428,0.0
2047,865104.6361442008,595812.1020155874,0.0,595812.1020155874,1460916.7381597883,20125.844890035307,12965.68853492659,76721.65232953591,0.0,0.0,48593.8489183183,0.0,0.0,0.0,0.0,48593.8489183183,28127.803411217614,0.85,65139.615630799235,retirement,brackets,married_joint,11515.634386753181,7862.9870569511,3652.647329802081,16126.478277271879,60595.17405226403,0.10248633427264198,1.0,oregon,married_joint,3047.904394404385,48593.8489183183,45545.9445239139,0.07516663226689663,0.0,96000.0,0.0,-88077.85256988148,121169.38599484338,13653.751608090191,0.0,1.0,30113.326328695177,30113.326328695177,0.0,13653.751608090191,0.0,48593.8489183183,0.0,24998.278826033893,23595.90844537999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,710492.6962604078,366573.5960383877,343583.91681232967,82673.074068171,26197.640085700845,46926.90613743698,53599.06246708726,27077.72125031182,18815.329463544505,0.0
