year,total_net_worth_p10,total_net_worth_p25,total_net_worth_p50,total_net_worth_p75,total_net_worth_p90,net_worth_p10,net_worth_p25,net_worth_p50,net_worth_p75,net_worth_p90
2039,1975269.8551453128,2248224.8801755146,2723012.8452759786,3374624.978431086,4366656.578598229,1188757.076726794,1461712.101756996,1936500.0668574595,2588112.2000125675,3580143.800179711
2040,2027353.416183672,2383117.0569172017,2834827.234397901,3608485.089751195,4621005.836959925,1217210.359551274,1572974.0002848038,2024684.1777655035,2798342.0331187975,3810862.780327527
2041,2141614.263310886,2532891.7799655,3056665.0018812316,3912064.544656015,5049463.299500874,1307166.9149795158,1698444.43163413,2222217.6535498616,3077617.1963246446,4215015.951169505
2042,2247806.0764746927,2621547.6595957763,3239160.112556011,4315739.409622573,5615314.858050967,1388325.307693382,1762066.8908144652,2379679.3437747,3456258.6408412624,4755834.089269656
2043,2144455.759551233,2681542.3028718475,3386188.3876444483,4386413.928920317,5846841.719752872,1259190.567706483,1796277.1110270973,2500923.195799698,3501148.737075567,4961576.527908122
2044,1972643.094042733,2643803.1884567,3430490.641387447,4586243.961928969,6006498.004392565,1060819.9464426404,1731980.0408566077,2518667.493787354,3674420.8143288763,5094674.856792472
2045,2001526.3743478802,2620150.407579151,3436636.0901826923,4890323.658156743,6386461.2892277585,1062348.5323197846,1680972.5655510558,2497458.248154597,3951145.816128648,5447283.447199663
2046,1975858.3637968136,2566653.7936508083,3547567.7028695894,5025525.879241918,6467311.662708928,1008505.1865078753,1599300.61636187,2580214.525580651,4058172.70195298,5499958.48541999
2047,1894436.0804720256,2568792.0881468975,3739567.2818183606,5140004.28768055,6926503.728091708,898062.3078644191,1572418.3155392911,2743193.509210754,4143630.515072943,5930129.955484102
2048,1904269.46646192,2549365.3136749263,3782288.619640326,5251994.749096533,7374256.1895976355,878004.480676085,1523100.3278890913,2756023.6338544916,4225729.763310699,6347991.203811801
2049,1800740.5527443143,2610550.9277031217,3800446.5673699547,5531026.766850534,8145211.912689568,743687.6173849043,1553497.992343712,2743393.6320105447,4473973.831491124,7088158.9773301575
2050,1724527.6012090498,2602112.803149918,4037071.1055526957,5860219.829985887,8615207.117338538,635763.0777888577,1513348.2797297256,2948306.5821325034,4771455.3065656945,7526442.593918347
2051,1617876.9816119983,2471677.515072463,4173667.5679782936,6152357.945787758,9828630.581419265,496449.52248920006,1350250.0559496651,3052240.108855495,5030930.486664959,8707203.122296467
2052,1562902.6925860934,2420728.544076835,4412049.8578753825,6246681.116576808,10295179.540744735,407832.40968961135,1265658.2611803527,3256979.5749789,5091610.833680325,9140109.257848253
2053,1396424.6410390006,2349773.806198674,4286455.52584701,6688928.027746351,11281812.234744176,206702.2496556241,1160051.4148152974,3096733.134463633,5499205.636362975,10092089.8433608
2054,1289987.4103908371,2160643.969603289,4325023.025414865,6822812.353284199,11926933.284256054,64573.347265958924,935229.9064784108,3099608.962289987,5597398.29015932,10701519.221131176
2055,1153026.2537541545,2086725.7834469816,4428300.748294491,7305397.336845512,12516417.06154317,-109150.23126446997,824549.2984283572,3166124.263275867,6043220.851826887,11254240.576524546
2056,1124400.7818740103,2042460.2301391566,4568553.302507679,7650566.760117647,13001929.777828138,-175640.99769517296,742418.4505699733,3268511.5229384955,6350524.980548464,11701887.998258956
2057,1150576.6053302307,1858854.1165900687,4620529.419825035,7466363.743583474,13384359.608725084,-188466.42762602816,519811.08363380993,3281486.3868687768,6127320.710627215,12045316.575768825
2058,1191747.7034901378,1706558.5914351312,4697227.187293123,8286221.906847109,14684523.354835795,-187466.62045480902,327344.26749018434,3318012.863348177,6907007.582902162,13305309.030890848
2059,1226943.934594842,1613874.2357125536,4226265.937331959,8741970.989735322,15510319.2982079,-193646.8190684533,193283.48204925848,2805675.1836686633,7321380.236072027,14089728.544544604
2060,1263196.0526326874,1472812.854800316,4155913.815095407,8894649.524841266,15250870.324174352,-200012.4236405069,9604.378527121888,2692705.338822213,7431441.048568072,13787661.847901158
2061,1300535.734211668,1310994.1333986344,3930283.232167499,9176904.507673576,16466704.426410193,-206568.99634972212,-196110.5971627555,2423178.5016061086,7669799.777112185,14959599.695848802
2062,1338995.606238018,1338995.606238018,4186036.890776676,9236528.473302072,18345958.870141756,-213322.2662402138,-213322.2662402138,2633719.0182984443,7684210.60082384,16793640.997663524
2063,1378609.2744251585,1378609.2744251585,3941303.2640028964,9586373.003392544,18503913.201819133,-220278.1342274202,-220278.1342274202,2342415.8553503174,7987485.594739964,16905025.793166555
2064,1419411.3526579135,1419411.3526579135,3797013.4235080536,10218214.55203491,20333385.72582892,-227442.67825424284,-227442.67825424284,2150159.3925958974,8571360.521122755,18686531.694916762
2065,1461437.493237651,1461437.493237651,3749409.072544894,11437548.468930364,21408961.15256911,-234822.15860187012,-234822.15860187012,2053149.420705373,9741288.817090843,19712701.50072959
2066,1504724.4180347805,1504724.4180347805,3597301.1661933213,12053715.909177821,20750943.988963567,-242423.0233599262,-242423.0233599262,1850153.7247986144,10306568.467783112,19003796.54756886
